Name,Longitude,Latitude
Nezcoffee,106.85552,-6.4464205
Kedai kopi verbena,106.8329759,-6.4450751
Meeting point coffee,106.8321539,-6.4434771
Annur Caffe,106.7785893,-6.4340765
Coffee Shop Adank,106.8089931,-6.4267495
Zona Nyaman Kopi,106.765207,-6.4242934
KUY Pancong & Coffee,106.7963228,-6.4238231
Abcd,106.763583,-6.4231444
Cocote Coffee Corner,106.813204,-6.4223822
Visco Coffee Roastery,106.8143716,-6.4222806
Rumah Jajan 'Baslok uty',106.7709791,-6.4214065
mh Latte at Work,106.8287463,-6.420751
Kedai AA coffee,106.7479699,-6.4206374
Kimung Coffee Shop,106.8279329,-6.4198411
Waroenk Coffee,106.7559266,-6.4195406
KEDAI INTRO,106.8578311,-6.419417
Teras Kopi,106.8246885,-6.4189339
Coffee Me,106.8248594,-6.4189258
Titik Rindu Coffee & Venue,106.8220879,-6.4181783
Lily Makeup,106.7583923,-6.4176034
Warkop Gijer,106.7678046,-6.4165641
Pesona Coffee Depok,106.8283343,-6.4158898
Cafecoffe_Rayyan,106.8092726,-6.4143753
monolog.coffee,106.8149176,-6.4142032
Cafetaria Bu Hafni,106.7637133,-6.4141356
Kopi Jawir,106.8205447,-6.412439
ANS Coffee And Friends,106.7920708,-6.4119452
mangya coffee & eatery,106.8484963,-6.411159
WARUNG UNDERGROUND DEPOK,106.810985,-6.411096
Kopi Bewok,106.830055,-6.4107852
Selenoid Coffee,106.8279166,-6.4097799
Kedai Kopi Kopidcoffee,106.8508405,-6.4091482
Serab Coffee Brewery,106.8322906,-6.4088978
warung kopi,106.8746165,-6.408763
Ti.Lang Coffee,106.8270643,-6.4061001
L.Do Coffee Shop,106.7630635,-6.4058633
HAMAS Cafe,106.7739022,-6.4051356
Duashop coffee,106.8175766,-6.4046321
Cafe Kate,106.7647185,-6.4043548
Differgent Coffee & Eatery,106.7725426,-6.4042267
Kopi Hasrat Sawangan,106.7690343,-6.403552
Edisan Coffee,106.8336889,-6.4033865
Kedai Kopi,106.7680635,-6.4027611
Starbucks coffee Bojongsari,106.7424546,-6.4014996
Temoei Kopi,106.8509988,-6.4009745
Point Coffee,106.8256048,-6.3999773
Cipuy Coffee,106.8463808,-6.3998983
Aubeu Coffee Shop,106.8872935,-6.3997632
Dadi's Coffee Garden,106.8221599,-6.3995841
Emily Listening Space,106.8267077,-6.3986226
Cafe 88,106.7970412,-6.3984627
Warung Nako Kopi Nako Depok,106.8209377,-6.396832
nyetarbak coffeshop,106.7434601,-6.3961884
Androx Coffee Roaster Kopi,106.8286771,-6.3949875
Bersenandung Coffee,106.8142051,-6.3938056
Delysh Coffee Shop,106.825428,-6.393788
Coffee x Barista,106.8121247,-6.3935472
Coffie Novie,106.8358927,-6.3918638
Craftsman Coffee,106.8147982,-6.3915023
Yanbot Coffee,106.8059448,-6.3910112
Dudin's cafe,106.7986847,-6.3906446
TEMUSAPA COFFEE,106.816599,-6.3874481
Starbucks Dmall,106.8263179,-6.3868592
Hoope Juanda,106.8492247,-6.379703
Vino's Coffee,106.8035689,-6.3783165
Aone coffee,106.8200325,-6.375701
Ol’ Pops Coffee Cinangka,106.7592154,-6.3749273
bramdhit coffee shop margonda,106.8328355,-6.3744624
MAXX Coffee,106.8325266,-6.3726978
Dancella Cofffee,106.8319108,-6.3695
Coffith Coffee & Kitchen,106.8144244,-6.3650657
Starbucks,106.833459,-6.3638622
Saturday Coffee 1.0,106.8410908,-6.354999
Tempat ngopi,106.8603445,-6.3545629
Barokah Barber'n Coffee Shop,106.8424593,-6.35203
